"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C4","3","10n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"2","C3","1","1n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"3","D1, D2, D3","3","1N5711W","Diode_SMD:D_SOD-123",""
"4","H1, H2, H3, H4","4","M3","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad",""
"5","J1","1","pinHeader","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical",""
"6","R1, R2, R3, R4","4","100R","Resistor_THT:R_Axial_DIN0516_L15.5mm_D5.0mm_P20.32mm_Horizontal",""
"7","R5","1","100R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"8","R6","1","4.99k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"9","T1","1","FT50-43","Library:Transformer_swr_20",""
"10","T2","1","FT82_43","Library:Transformer_swr_25",""
